date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,6.5,4.2,8.4,,,273,15.8,44.5,1012,
2024-01-02,6.9,5.3,7.9,,,186,8.7,24.1,1009.3,
2024-01-03,10.4,6.5,14.1,,,239,15.1,53.7,1001.9,
2024-01-04,10.7,8.3,11.8,,,267,26.6,87,1003.1,
2024-01-05,7.3,5.4,8.8,,,172,8.5,44.5,1007.9,
2024-01-06,4.9,4.5,5.4,,,305,11.1,31.5,1006.1,
2024-01-07,0.9,-1.3,4.1,,,318,21.8,51.8,1011.4,
2024-01-08,-3,-6.1,-1.4,,,319,22.7,50,1023.6,
2024-01-09,-5.5,-6.7,-4.1,,,352,11.7,33.3,1033.1,
2024-01-10,-3.9,-8,0.1,,,108,9.4,25.9,1033.2,
2024-01-11,-2.1,-4.6,0.8,,,308,11.8,38.9,1028.9,
2024-01-12,0.5,-0.1,0.9,,,299,17.4,37,1028.6,
2024-01-13,0.1,-1.3,1,,,277,17,35.2,1022.5,
2024-01-14,1,-0.9,2.4,,,259,18.6,46.3,1011.2,
2024-01-15,2.1,0.5,3,,,260,21.1,57.4,1003,
2024-01-16,2.1,1,3.3,,,269,18.7,55.5,1010.3,
2024-01-17,0.1,-1.5,2,,,134,7.3,22.2,1002.2,
2024-01-18,4.6,2,8.7,,,221,8.1,46.3,994.8,
2024-01-19,1.6,0.4,2.6,,,307,19.1,46.3,1016.8,
2024-01-20,1.6,-0.3,4.4,,,275,14.7,35.2,1030.7,
2024-01-21,1,-0.9,3.2,,,167,8,20.4,1033.6,
2024-01-22,-0.1,-2.7,1.8,,,143,8.7,24.1,1026.9,
2024-01-23,4.7,0.9,7.8,,,250,15,51.8,1026.8,
2024-01-24,9.2,4.9,13.5,,,246,17.7,70.4,1022.9,
2024-01-25,9.5,7.4,11,,,284,26.1,66.7,1024.4,
2024-01-26,7.5,5.7,11,,,268,13.8,63,1025.5,
2024-01-27,7.1,5.4,10.3,,,298,25.6,63,1031.4,
2024-01-28,5.1,2.5,7.2,,,344,8.5,33.3,1038,
2024-01-29,2.8,0.5,6.5,,,131,10,24.1,1037.3,
2024-01-30,3.1,1.2,6.3,,,132,10.4,25.9,1036,
2024-01-31,2.6,-0.3,5.4,,,124,5.5,13,1034.9,
2024-02-01,6.4,2.9,9.5,,,257,14.4,51.8,1027.6,
2024-02-02,7.5,5.8,10.8,,,285,17.3,59.3,1028.8,
2024-02-03,10.3,9.5,11.4,,,278,25.2,63,1023.8,
2024-02-04,10.6,8.3,11.9,,,270,27.5,72.2,1020.7,
2024-02-05,12.1,11,13.2,,,269,28.5,75.9,1017.3,
2024-02-06,12.4,10,14,,,271,22.9,63,1015.3,
2024-02-07,12.5,10.2,14.3,,,256,21.6,55.5,1008.4,
2024-02-08,12.7,10.7,14.3,,,252,15.2,42.6,1003.5,
2024-02-09,10.7,9.5,12.4,,,57,5.6,14.8,997.1,
2024-02-10,11.7,8.9,14.4,,,88,9.5,38.9,992.8,
2024-02-11,10.9,9.7,11.7,,,205,17.6,48.2,993,
2024-02-12,10.5,9,12,,,275,18.4,40.8,1003.9,
2024-02-13,8.8,6.3,10,,,297,17.1,38.9,1017.8,
2024-02-14,8.2,4.6,11.7,,,243,8.2,31.5,1023.8,
2024-02-15,10.7,8.2,13.5,,,167,7.2,18.5,1022.7,
2024-02-16,9.7,6.6,13.6,,,129,11.6,37,1020.7,
2024-02-17,9.6,6.8,12.7,,,266,8.6,22.2,1027.3,
2024-02-18,9.8,8.1,11.4,,,7,9.4,20.4,1032.1,
2024-02-19,9.7,6.6,12.4,,,250,16,48.2,1024,
2024-02-20,9.5,8.3,11.3,,,277,18.7,38.9,1025.3,
2024-02-21,10.3,8.3,13.2,,,244,12.9,31.5,1022.2,
2024-02-22,8.4,6.5,10.4,,,134,6.5,18.5,1005.8,
2024-02-23,9.6,5.5,11.1,,,200,10.4,27.8,999.5,
2024-02-24,7.7,4.7,10.7,,,170,10.8,31.5,1006.5,
2024-02-25,8.8,5.4,13.3,,,134,9,33.3,1008.3,
2024-02-26,10.1,6.8,13.7,,,145,14.4,42.6,1004.2,
2024-02-27,11.1,7.6,14.6,,,128,10.2,31.5,1010.8,
2024-02-28,10.8,9.8,12,,,280,10.3,27.8,1018.5,
2024-02-29,11.3,8.1,14.6,,,109,10.3,29.6,1017.7,
2024-03-01,11.1,9.9,12.5,,,138,11.8,25.9,1009.1,
2024-03-02,9.7,7.5,12.1,,,135,11.5,31.5,1008.9,
2024-03-03,11.8,7.8,16.6,,,142,15.7,44.5,1005,
2024-03-04,12,7.3,17.2,,,301,7.5,29.6,1006.6,
2024-03-05,11.1,8.9,12.8,,,301,13.5,31.5,1013.1,
2024-03-06,8.7,7.1,10.9,,,329,12.9,29.6,1019,
2024-03-07,6,4.2,7.8,,,335,15.7,31.5,1021.2,
2024-03-08,5.5,3.6,8,,,102,11.7,31.5,1019.8,
2024-03-09,7.9,5.1,11.1,,,141,22.8,51.8,1011.9,
2024-03-10,12.1,8.5,15.9,,,140,22.5,59.3,1003.5,
2024-03-11,11.2,9.2,13.3,,,261,11.3,35.2,1004.9,
2024-03-12,8.3,7.3,9.4,,,293,23,50,1011.9,
2024-03-13,10.7,8.3,13.4,,,292,17.4,37,1017.4,
2024-03-14,11.4,7.8,14.9,,,284,7.6,18.5,1017.4,
2024-03-15,12.6,8,16.8,,,167,7.3,18.5,1014.8,
2024-03-16,14.1,12.2,16.5,,,264,16.1,46.3,1017,
2024-03-17,10.6,7.9,13.1,,,322,13.3,38.9,1022.6,
2024-03-18,7.9,4.7,11,,,12,7.8,20.4,1018.7,
2024-03-19,5.6,1.8,9.1,,,357,8.4,18.5,1022.7,
2024-03-20,8,2.2,13.3,,,146,5.6,14.8,1023,
2024-03-21,11.8,6.6,16.2,,,245,7.9,31.5,1020.4,
2024-03-22,14.5,11.5,17.9,,,267,13.4,33.3,1018.7,
2024-03-23,13,7.8,18.4,,,234,12.4,53.7,1009.1,
2024-03-24,7.7,6,9.5,,,267,18.8,50,1008.2,
2024-03-25,8.8,6.5,11.9,,,260,18,46.3,1007.8,
2024-03-26,11,5.2,16.3,,,137,22.3,61.1,1001.8,
2024-03-27,14.2,9.1,18.5,,,143,23.3,57.4,994.1,
2024-03-28,13.2,8.6,16.9,,,208,17.2,51.8,995.8,
2024-03-29,14.3,7.7,21.8,,,171,15,40.8,1005.8,
2024-03-30,18.2,13,22.9,,,173,14.3,53.7,1004.8,
2024-03-31,18.7,15.4,22.4,,,159,20.9,53.7,1002.1,
2024-04-01,17.5,11.1,23.5,,,185,21.8,57.4,1000.1,
2024-04-02,12.1,9.3,15.1,,,267,23.1,68.5,1008.8,
2024-04-03,14.2,9.9,18.7,,,225,10.1,27.8,1012,
2024-04-04,15.9,11.6,20,,,257,15,37,1014.6,
2024-04-05,18.2,13.9,23.1,,,228,11,27.8,1017.9,
2024-04-06,21,16.2,26.1,,,159,6.1,16.7,1017.8,
2024-04-07,20.9,14.4,27.5,,,141,9.5,29.6,1018.5,
2024-04-08,22.2,15.9,28.5,,,140,16.7,44.5,1014.2,
2024-04-09,20.9,15.4,27.1,,,124,11.5,57.4,1009.9,
2024-04-10,12.7,10.3,15.7,,,298,24,64.8,1024.5,
2024-04-11,14.8,11.2,18.9,,,313,14.4,31.5,1031.7,
2024-04-12,17.6,12.8,22.4,,,307,8.7,20.4,1031,
2024-04-13,20.7,16.3,25.9,,,271,11.7,29.6,1026.4,
2024-04-14,21.8,14.3,28,,,252,12.8,46.3,1019.3,
2024-04-15,18,15.2,21.3,,,261,10.4,35.2,1009.8,
2024-04-16,10.3,8.1,14,,,254,16.8,46.3,1006.4,
2024-04-17,9.7,8.1,11.9,,,296,17,37,1005.6,
2024-04-18,8.1,5.2,10.1,,,307,14.5,38.9,1011.9,
2024-04-19,8.2,4.7,10.8,,,262,17.7,42.6,1013.8,
2024-04-20,7.7,5.9,9.5,,,272,19.9,46.3,1011.4,
2024-04-21,6.6,4,9.2,,,333,16.2,37,1018.2,
2024-04-22,6.6,4.7,9.2,,,341,13.3,27.8,1020.4,
2024-04-23,5.7,3.3,7.9,,,335,11.6,27.8,1016.7,
2024-04-24,7.2,5.5,9,,,292,17.1,37,1008.3,
2024-04-25,9.1,6,12.2,,,250,14.4,37,1009.2,
2024-04-26,10.9,3.9,17,,,155,11.9,35.2,1010.6,
2024-04-27,14.2,8.3,20.2,,,135,13.4,38.9,1012.9,
2024-04-28,18.2,11.9,24.6,,,146,15.8,40.8,1015,
2024-04-29,19.8,13.1,25.8,,,132,11.6,42.6,1020.4,
2024-04-30,20.6,14.7,25.8,,,137,16.7,55.5,1021,
2024-05-01,18.5,14,22,,,140,20.1,55.5,1014.2,
2024-05-02,18.7,15.5,22.8,,,137,18.8,50,1007.2,
2024-05-03,15,13.4,16.8,,,257,10.2,31.5,1010.1,
2024-05-04,17.1,12.1,22.7,,,281,14.7,37,1014.4,
2024-05-05,19.9,12.9,24.7,,,206,9,27.8,1011.2,
